749206,0.4,0.48,0.48,0.28,0.19,0.39,0.27,0.44,0.43,1.0,0.29,0.59,0.51,0.83,0.49,0.24,0.66,0.5,0.43,0.2,0.65,0.59,0.24,1.0,0.41,0.39,0.57,0.22,0.33,0.59,0.65,0.43,0.56,0.44,0.24,0.24,0.44,0.98,0.45,0.27,0.44,0.21,0.41,0.52,0.44,0.34,0.43,0.95,0.65,0.29,0.4,0.59,0.49,0.45,0.49,0.49,0.4,0.66,0.27,0.43,0.27,0.43,0.55,0.21,0.51,0.57,0.22,0.43,0.61,0.5,0.52,0.49,0.34,0.98,0.37,0.83,0.41,0.49,0.5,0.45,0.55,0.59,0.63,0.79,0.82,0.5,0.44,0.43,0.46,0.28,0.78,0.28,0.78,0.44,0.49,0.55,0.32,0.49,0.39,0.98,0.41,0.22,0.6,0.22,0.41,0.57,0.23,0.83,0.52,0.34,0.98,0.98,0.26,0.83,0.79,0.49,0.5,0.55,0.44,0.98,0.28,0.57,0.98,0.48,0.5,0.22,0.54,0.46,0.49,0.35,0.43,0.44,0.43,0.3,0.22,0.3,0.59,0.39,0.98,0.95,0.49,0.62,0.48,0.54,0.29,1.0,0.44,0.4,0.98,0.24,0.22,0.32,0.43,0.3,0.62,0.49,0.89,0.41,0.43,0.33,0.33,0.96,0.26,0.63,0.41,0.49,0.5,0.45,0.33,0.44,0.4,0.85,0.46,0.83,0.73,0.28,0.43,0.65,0.26,0.2,0.5,0.44,0.98,0.55,0.28,0.65,0.83,0.27,0.44,0.46,0.2,0.22,0.41,0.55,0.5,0.43,0.39,0.48,0.46,0.48,0.49,0.95,0.61,0.52,0.45
776568,0.19,0.21,0.21,0.2,0.33,0.29,0.25,0.21,0.31,0.29,1.0,0.19,0.27,0.16,0.55,0.24,0.19,0.22,0.15,0.31,0.19,0.19,0.22,0.19,0.15,0.15,0.43,0.15,0.18,0.16,0.19,0.15,0.27,0.21,0.22,0.22,0.25,0.18,0.25,0.28,0.15,0.18,0.15,0.15,0.15,0.36,0.21,0.16,0.18,0.33,0.18,0.19,0.16,0.22,0.21,0.22,0.18,0.19,0.37,0.21,0.13,0.15,0.28,0.24,0.52,0.57,0.25,0.21,0.16,0.22,0.21,0.22,0.18,0.18,0.19,0.16,0.15,0.24,0.15,0.22,0.31,0.18,0.18,0.15,0.15,0.18,0.15,0.21,0.19,0.16,0.19,0.15,0.19,0.19,0.46,0.31,0.18,0.18,0.24,0.18,0.13,0.24,0.18,0.16,0.15,0.4,0.36,0.16,0.3,0.16,0.18,0.18,0.13,0.16,0.19,0.18,0.3,0.31,0.21,0.18,0.15,0.18,0.18,0.18,0.22,0.25,0.15,0.25,0.16,0.18,0.15,0.21,0.15,0.15,0.28,0.18,0.19,0.12,0.18,0.16,0.18,0.18,0.21,0.21,0.48,0.19,0.21,0.27,0.18,0.24,0.19,0.18,0.15,0.15,0.27,0.22,0.19,0.15,0.21,0.18,0.3,0.18,0.22,0.16,0.15,0.28,0.24,0.25,0.18,0.21,0.18,0.18,0.24,0.16,0.25,0.19,0.21,0.19,0.36,0.33,0.3,0.15,0.18,0.37,0.15,0.19,0.16,0.52,0.15,0.18,0.33,0.24,0.15,0.33,0.48,0.15,0.15,0.22,0.18,0.3,0.16,0.16,0.18,0.24,0.22
686564,0.33,0.37,0.37,0.22,0.19,0.24,0.27,0.32,0.43,0.59,0.19,1.0,0.5,0.8,0.46,0.37,0.87,0.46,0.43,0.26,0.87,0.56,0.31,0.87,0.41,0.39,0.57,0.33,0.48,0.76,0.87,0.44,0.54,0.69,0.31,0.31,0.67,0.83,0.43,0.41,0.44,0.3,0.41,0.5,0.44,0.52,0.67,0.8,0.85,0.44,0.39,0.65,0.48,0.43,0.54,0.46,0.39,0.87,0.41,0.67,0.41,0.43,0.54,0.35,0.48,0.57,0.33,0.67,0.8,0.46,0.54,0.5,0.52,0.83,0.46,0.65,0.41,0.46,0.63,0.43,0.52,0.76,0.83,0.74,0.59,0.46,0.46,0.67,0.48,0.43,0.87,0.43,0.87,0.63,0.5,0.52,0.48,0.46,0.46,0.83,0.41,0.35,0.78,0.33,0.41,0.56,0.35,0.65,0.5,0.52,0.83,0.83,0.39,0.65,0.76,0.5,0.48,0.52,0.69,0.83,0.43,0.76,0.83,0.7,0.46,0.33,0.78,0.46,0.46,0.54,0.43,0.69,0.44,0.46,0.31,0.46,0.65,0.41,0.83,0.8,0.44,0.83,0.5,0.56,0.44,0.87,0.69,0.41,0.83,0.37,0.33,0.46,0.44,0.46,0.61,0.46,0.7,0.41,0.67,0.33,0.48,0.81,0.39,0.83,0.41,0.48,0.46,0.44,0.48,0.69,0.39,0.83,0.54,0.65,0.78,0.43,0.67,0.87,0.35,0.26,0.48,0.46,0.83,0.5,0.43,0.87,0.8,0.41,0.46,0.43,0.26,0.35,0.41,0.54,0.52,0.43,0.39,0.5,0.46,0.44,0.48,0.8,0.8,0.67,0.43
776408,0.52,0.62,0.62,0.87,0.46,0.56,0.42,0.59,0.42,0.51,0.27,0.5,1.0,0.26,0.48,0.17,0.21,0.36,0.29,0.19,0.21,0.27,0.17,0.27,0.28,0.22,0.46,0.16,0.24,0.21,0.21,0.28,0.58,0.15,0.17,0.17,0.15,0.27,0.29,0.12,0.23,0.13,0.28,0.27,0.23,0.16,0.15,0.26,0.21,0.27,0.28,0.35,0.32,0.29,0.2,0.29,0.28,0.21,0.15,0.15,0.18,0.33,0.3,0.17,0.51,0.41,0.14,0.15,0.2,0.36,0.34,0.4,0.24,0.27,0.14,0.27,0.28,0.29,0.2,0.28,0.33,0.21,0.21,0.26,0.25,0.39,0.29,0.15,0.31,0.24,0.3,0.19,0.3,0.2,0.37,0.33,0.4,0.37,0.16,0.27,0.3,0.17,0.2,0.16,0.28,0.42,0.27,0.27,0.29,0.21,0.27,0.27,0.18,0.27,0.31,0.39,0.61,0.33,0.15,0.27,0.19,0.22,0.27,0.22,0.36,0.14,0.22,0.27,0.32,0.38,0.23,0.15,0.29,0.23,0.23,0.5,0.35,0.29,0.27,0.26,0.36,0.21,0.27,0.37,0.19,0.27,0.14,0.3,0.27,0.17,0.14,0.35,0.28,0.23,0.28,0.29,0.27,0.28,0.15,0.19,0.26,0.27,0.19,0.22,0.28,0.32,0.36,0.3,0.24,0.2,0.28,0.27,0.38,0.27,0.33,0.19,0.15,0.21,0.17,0.21,0.61,0.29,0.27,0.45,0.18,0.21,0.26,0.15,0.29,0.3,0.21,0.17,0.28,0.34,0.82,0.23,0.22,0.28,0.34,0.32,0.32,0.26,0.21,0.21,0.29
683081,0.41,0.47,0.47,0.27,0.21,0.39,0.27,0.52,0.42,0.83,0.16,0.8,0.26,1.0,0.48,0.24,0.54,0.49,0.43,0.2,0.53,0.54,0.22,0.82,0.42,0.4,0.57,0.22,0.33,0.51,0.53,0.42,0.54,0.34,0.22,0.22,0.37,0.83,0.45,0.24,0.43,0.2,0.42,0.52,0.43,0.28,0.3,0.93,0.54,0.3,0.41,0.57,0.47,0.45,0.46,0.48,0.41,0.54,0.25,0.3,0.28,0.42,0.53,0.22,0.51,0.54,0.22,0.3,0.65,0.49,0.51,0.47,0.35,0.92,0.28,0.7,0.42,0.48,0.42,0.45,0.53,0.51,0.64,0.86,0.67,0.51,0.42,0.3,0.48,0.27,0.66,0.28,0.66,0.46,0.46,0.53,0.3,0.48,0.31,0.83,0.42,0.22,0.52,0.22,0.42,0.57,0.2,0.7,0.51,0.33,0.83,0.83,0.27,0.7,0.73,0.46,0.46,0.53,0.34,0.83,0.28,0.49,0.92,0.41,0.49,0.22,0.47,0.46,0.48,0.36,0.45,0.34,0.42,0.3,0.2,0.29,0.57,0.4,0.83,0.93,0.49,0.63,0.46,0.52,0.27,0.82,0.39,0.4,0.83,0.24,0.23,0.33,0.42,0.3,0.65,0.48,0.75,0.42,0.3,0.33,0.33,0.89,0.24,0.6,0.42,0.47,0.49,0.45,0.33,0.39,0.41,0.9,0.45,0.7,0.69,0.27,0.3,0.53,0.25,0.19,0.46,0.42,0.83,0.53,0.3,0.53,1.0,0.27,0.42,0.46,0.19,0.22,0.42,0.53,0.48,0.45,0.4,0.46,0.45,0.47,0.47,0.93,0.52,0.45,0.45
776519,0.43,0.44,0.44,0.43,0.19,0.72,0.62,0.44,0.38,0.49,0.55,0.46,0.48,0.48,1.0,0.13,0.18,0.39,0.24,0.22,0.18,0.32,0.15,0.29,0.24,0.22,0.48,0.14,0.3,0.17,0.18,0.24,0.7,0.17,0.15,0.15,0.18,0.29,0.36,0.18,0.24,0.18,0.24,0.28,0.24,0.21,0.17,0.29,0.18,0.31,0.27,0.35,0.28,0.38,0.25,0.42,0.27,0.18,0.21,0.17,0.15,0.27,0.4,0.15,0.67,0.65,0.19,0.17,0.18,0.39,0.26,0.28,0.26,0.29,0.15,0.32,0.24,0.44,0.24,0.36,0.38,0.17,0.18,0.28,0.31,0.33,0.24,0.17,0.24,0.21,0.32,0.15,0.32,0.25,0.32,0.38,0.22,0.28,0.2,0.29,0.28,0.13,0.18,0.13,0.24,0.6,0.26,0.32,0.43,0.18,0.29,0.29,0.14,0.32,0.26,0.27,0.34,0.38,0.17,0.29,0.15,0.17,0.29,0.21,0.39,0.19,0.18,0.24,0.44,0.24,0.24,0.17,0.24,0.18,0.26,0.28,0.35,0.25,0.29,0.29,0.29,0.18,0.26,0.3,0.23,0.29,0.18,0.27,0.29,0.13,0.17,0.46,0.24,0.18,0.31,0.42,0.31,0.24,0.17,0.24,0.35,0.29,0.12,0.18,0.24,0.35,0.33,0.34,0.3,0.25,0.27,0.29,0.33,0.32,0.32,0.14,0.17,0.18,0.21,0.24,0.34,0.24,0.29,0.37,0.15,0.18,0.29,0.26,0.24,0.4,0.24,0.13,0.24,0.48,0.55,0.22,0.22,0.26,0.31,0.47,0.28,0.29,0.18,0.21,0.38
779454,0.22,0.23,0.23,0.18,0.58,0.16,0.26,0.22,0.28,0.24,0.24,0.37,0.17,0.24,0.13,1.0,0.23,0.44,0.31,0.31,0.23,0.25,0.42,0.23,0.27,0.27,0.21,0.21,0.27,0.23,0.23,0.29,0.25,0.25,0.42,0.42,0.25,0.25,0.4,0.27,0.29,0.23,0.27,0.23,0.29,0.25,0.25,0.25,0.23,0.29,0.23,0.23,0.23,0.4,0.29,0.4,0.23,0.23,0.27,0.25,0.23,0.17,0.25,0.56,0.33,0.27,0.6,0.25,0.25,0.44,0.33,0.23,0.21,0.23,0.23,0.21,0.27,0.4,0.21,0.4,0.29,0.23,0.23,0.31,0.19,0.44,0.29,0.25,0.27,0.4,0.23,0.19,0.23,0.25,0.27,0.29,0.21,0.27,0.25,0.25,0.23,0.58,0.23,0.21,0.27,0.29,0.38,0.21,0.25,0.23,0.25,0.25,0.23,0.21,0.31,0.21,0.33,0.29,0.25,0.25,0.19,0.23,0.23,0.27,0.44,0.6,0.23,0.33,0.4,0.23,0.27,0.25,0.27,0.21,0.19,0.29,0.23,0.25,0.25,0.25,0.44,0.23,0.29,0.33,0.38,0.23,0.31,0.25,0.25,1.0,0.65,0.29,0.29,0.21,0.44,0.4,0.25,0.27,0.25,0.21,0.25,0.25,0.67,0.23,0.27,0.25,0.33,0.65,0.27,0.25,0.23,0.25,0.31,0.21,0.25,0.25,0.25,0.23,0.27,0.27,0.33,0.29,0.25,0.27,0.23,0.23,0.25,0.33,0.29,0.4,0.27,0.58,0.27,0.21,0.33,0.27,0.27,0.33,0.25,0.17,0.23,0.25,0.23,0.27,0.4
749849,0.33,0.37,0.37,0.22,0.19,0.24,0.27,0.32,0.43,0.66,0.19,0.87,0.21,0.54,0.18,0.23,1.0,0.46,0.43,0.26,0.98,0.56,0.31,1.0,0.41,0.39,0.57,0.33,0.48,0.89,0.98,0.44,0.54,0.67,0.31,0.31,0.67,0.96,0.43,0.41,0.44,0.3,0.41,0.5,0.44,0.52,0.65,0.93,0.98,0.44,0.39,0.63,0.48,0.43,0.54,0.46,0.39,1.0,0.41,0.65,0.41,0.43,0.54,0.35,0.48,0.57,0.33,0.65,0.93,0.46,0.54,0.5,0.52,0.96,0.44,0.76,0.41,0.46,0.76,0.43,0.52,0.89,0.96,0.78,0.72,0.46,0.46,0.65,0.48,0.43,0.98,0.43,0.98,0.61,0.5,0.52,0.48,0.46,0.46,0.96,0.41,0.35,0.91,0.33,0.41,0.56,0.35,0.76,0.5,0.52,0.96,0.96,0.39,0.76,0.8,0.5,0.5,0.52,0.67,0.96,0.43,0.87,0.96,0.69,0.46,0.33,0.81,0.46,0.46,0.54,0.43,0.67,0.44,0.46,0.33,0.46,0.63,0.41,0.96,0.93,0.44,0.94,0.5,0.56,0.44,1.0,0.67,0.41,0.96,0.37,0.33,0.46,0.44,0.46,0.59,0.46,0.83,0.41,0.65,0.33,0.48,0.94,0.39,0.96,0.41,0.48,0.46,0.44,0.48,0.67,0.39,0.87,0.54,0.76,0.78,0.43,0.65,0.98,0.35,0.26,0.5,0.46,0.96,0.52,0.43,0.98,0.83,0.41,0.46,0.43,0.26,0.35,0.41,0.54,0.52,0.43,0.39,0.5,0.46,0.44,0.48,0.93,0.93,0.8,0.43
722181,0.53,0.59,0.59,0.37,0.25,0.39,0.31,0.59,0.37,0.5,0.22,0.46,0.36,0.49,0.39,0.44,0.46,1.0,0.44,0.24,0.29,0.4,0.31,0.4,0.43,0.33,0.54,0.21,0.34,0.28,0.29,0.44,0.59,0.2,0.31,0.31,0.23,0.4,0.63,0.19,0.35,0.19,0.43,0.36,0.35,0.24,0.19,0.4,0.29,0.32,0.34,0.41,0.46,0.63,0.29,0.58,0.34,0.28,0.21,0.19,0.25,0.48,0.46,0.23,0.54,0.46,0.36,0.19,0.28,1.0,0.46,0.48,0.43,0.4,0.16,0.42,0.43,0.72,0.3,0.62,0.47,0.28,0.28,0.41,0.46,0.74,0.44,0.19,0.37,0.4,0.49,0.26,0.49,0.26,0.43,0.47,0.32,0.51,0.24,0.4,0.46,0.26,0.28,0.2,0.43,0.45,0.22,0.42,0.46,0.26,0.4,0.4,0.24,0.42,0.42,0.5,0.54,0.47,0.2,0.4,0.26,0.29,0.4,0.29,1.0,0.36,0.31,0.41,0.69,0.32,0.35,0.2,0.44,0.29,0.21,0.31,0.41,0.44,0.4,0.4,0.73,0.29,0.45,0.46,0.22,0.4,0.19,0.43,0.4,0.28,0.25,0.34,0.44,0.29,0.47,0.58,0.4,0.43,0.19,0.25,0.32,0.4,0.25,0.28,0.44,0.39,0.81,0.54,0.34,0.26,0.34,0.4,0.5,0.42,0.49,0.25,0.19,0.29,0.22,0.22,0.54,0.44,0.4,0.57,0.26,0.29,0.4,0.22,0.44,0.65,0.22,0.26,0.43,0.41,0.55,0.33,0.33,0.46,0.48,0.38,0.46,0.4,0.28,0.32,0.63
741271,0.76,0.91,0.91,0.31,0.28,0.29,0.27,0.6,0.46,0.43,0.15,0.43,0.29,0.43,0.24,0.31,0.43,0.44,1.0,0.23,0.39,0.44,0.2,0.46,0.71,0.55,0.53,0.29,0.34,0.36,0.39,0.89,0.55,0.22,0.2,0.2,0.22,0.47,0.44,0.21,0.56,0.17,0.7,0.54,0.56,0.22,0.22,0.47,0.36,0.4,0.52,0.47,0.61,0.42,0.37,0.44,0.52,0.36,0.21,0.22,0.45,0.57,0.43,0.21,0.55,0.44,0.2,0.22,0.37,0.57,0.83,0.77,0.38,0.46,0.19,0.47,0.67,0.43,0.34,0.42,0.47,0.36,0.36,0.49,0.45,0.55,0.81,0.22,0.67,0.35,0.55,0.46,0.55,0.29,0.46,0.47,0.37,0.56,0.2,0.47,0.6,0.22,0.36,0.29,0.71,0.45,0.2,0.47,0.43,0.4,0.47,0.47,0.43,0.47,0.47,0.6,0.67,0.47,0.22,0.47,0.46,0.39,0.46,0.35,0.57,0.2,0.41,0.67,0.43,0.39,0.57,0.22,0.81,0.53,0.2,0.39,0.47,0.85,0.47,0.47,0.56,0.39,0.57,0.83,0.2,0.46,0.23,0.57,0.47,0.22,0.21,0.41,0.89,0.53,0.48,0.44,0.46,0.68,0.22,0.29,0.33,0.47,0.23,0.36,0.71,0.49,0.57,0.44,0.34,0.29,0.52,0.47,0.74,0.47,0.54,0.4,0.22,0.39,0.24,0.22,0.67,0.81,0.47,0.68,0.47,0.39,0.47,0.21,0.81,0.47,0.22,0.22,0.7,0.47,0.71,0.55,0.56,0.7,0.64,0.54,0.61,0.47,0.36,0.34,0.42
776096,0.24,0.22,0.22,0.24,0.23,0.24,0.3,0.24,0.32,0.2,0.31,0.26,0.19,0.2,0.22,0.31,0.26,0.24,0.23,1.0,0.15,0.16,0.24,0.2,0.22,0.22,0.29,0.24,0.25,0.16,0.15,0.22,0.36,0.2,0.24,0.24,0.22,0.22,0.31,0.33,0.22,0.18,0.22,0.25,0.22,0.33,0.2,0.22,0.16,0.36,0.22,0.22,0.22,0.27,0.24,0.27,0.22,0.15,0.29,0.2,0.22,0.22,0.33,0.29,0.36,0.31,0.24,0.2,0.16,0.29,0.22,0.22,0.2,0.2,0.18,0.24,0.22,0.27,0.2,0.27,0.47,0.16,0.15,0.25,0.25,0.29,0.2,0.2,0.24,0.16,0.25,0.18,0.25,0.2,0.29,0.47,0.25,0.22,0.24,0.22,0.24,0.29,0.15,0.2,0.22,0.35,0.45,0.24,0.4,0.22,0.22,0.22,0.22,0.24,0.22,0.24,0.35,0.47,0.2,0.22,0.18,0.16,0.2,0.18,0.29,0.24,0.18,0.2,0.27,0.24,0.22,0.2,0.2,0.18,0.35,0.24,0.22,0.22,0.22,0.22,0.31,0.15,0.2,0.27,0.4,0.2,0.22,0.38,0.22,0.27,0.2,0.29,0.22,0.18,0.31,0.27,0.22,0.22,0.2,0.2,0.2,0.22,0.22,0.16,0.22,0.36,0.31,0.24,0.25,0.2,0.22,0.22,0.22,0.24,0.27,0.2,0.2,0.15,0.6,0.6,0.35,0.2,0.22,0.38,0.24,0.15,0.22,0.4,0.2,0.31,0.6,0.29,0.22,0.29,0.24,0.22,0.22,0.22,0.2,0.33,0.22,0.22,0.15,0.27,0.27
749529,0.36,0.4,0.4,0.22,0.19,0.24,0.28,0.34,0.43,0.65,0.19,0.87,0.21,0.53,0.18,0.23,0.98,0.29,0.39,0.15,1.0,0.5,0.27,0.88,0.38,0.38,0.52,0.32,0.45,0.78,1.0,0.43,0.48,0.62,0.27,0.27,0.62,0.85,0.37,0.38,0.42,0.27,0.38,0.52,0.42,0.48,0.6,0.82,0.87,0.43,0.35,0.58,0.43,0.37,0.5,0.4,0.35,0.88,0.38,0.6,0.37,0.38,0.48,0.32,0.43,0.52,0.32,0.6,0.82,0.42,0.5,0.45,0.47,0.85,0.4,0.78,0.4,0.4,0.67,0.37,0.47,0.78,0.85,0.68,0.63,0.42,0.45,0.6,0.45,0.37,0.97,0.42,1.0,0.57,0.47,0.47,0.45,0.42,0.43,0.85,0.38,0.32,0.8,0.32,0.38,0.5,0.32,0.78,0.45,0.47,0.85,0.85,0.37,0.78,0.72,0.45,0.45,0.47,0.62,0.85,0.42,0.87,0.85,0.62,0.42,0.32,0.77,0.42,0.4,0.5,0.4,0.62,0.42,0.43,0.3,0.43,0.58,0.38,0.85,0.82,0.4,0.97,0.47,0.5,0.4,0.88,0.62,0.38,0.85,0.33,0.3,0.45,0.43,0.43,0.53,0.4,0.73,0.4,0.6,0.32,0.43,0.83,0.35,0.85,0.38,0.43,0.4,0.4,0.45,0.62,0.35,0.77,0.5,0.78,0.7,0.42,0.6,1.0,0.33,0.25,0.45,0.45,0.85,0.47,0.4,1.0,0.73,0.38,0.45,0.38,0.25,0.32,0.38,0.48,0.48,0.42,0.37,0.47,0.43,0.4,0.43,0.82,0.82,0.7,0.37
140819,0.4,0.45,0.45,0.28,0.25,0.42,0.28,0.42,0.37,0.59,0.19,0.56,0.27,0.54,0.32,0.25,0.56,0.4,0.44,0.16,0.5,1.0,0.13,0.32,0.21,0.2,0.3,0.1,0.2,0.19,0.2,0.22,0.31,0.16,0.13,0.13,0.19,0.32,0.23,0.17,0.22,0.16,0.21,0.26,0.22,0.22,0.16,0.32,0.19,0.17,0.21,0.28,0.25,0.23,0.24,0.26,0.21,0.2,0.17,0.16,0.13,0.23,0.32,0.13,0.28,0.32,0.15,0.16,0.19,0.28,0.27,0.26,0.19,0.32,0.16,0.34,0.21,0.26,0.2,0.23,0.32,0.19,0.19,0.29,0.33,0.28,0.22,0.16,0.24,0.14,0.34,0.14,0.34,0.2,0.26,0.32,0.17,0.27,0.19,0.32,0.23,0.13,0.2,0.11,0.21,0.32,0.19,0.34,0.32,0.15,0.32,0.32,0.13,0.34,0.3,0.27,0.27,0.32,0.16,0.32,0.14,0.19,0.32,0.2,0.28,0.15,0.19,0.24,0.26,0.18,0.22,0.16,0.22,0.15,0.13,0.17,0.28,0.21,0.32,0.32,0.26,0.19,0.25,0.27,0.17,0.32,0.17,0.23,0.32,0.15,0.13,0.18,0.22,0.15,0.34,0.26,0.32,0.21,0.16,0.18,0.21,0.32,0.16,0.2,0.21,0.33,0.27,0.26,0.2,0.2,0.21,0.31,0.26,0.34,0.31,0.15,0.16,0.2,0.15,0.13,0.27,0.22,0.32,0.36,0.14,0.2,0.3,0.17,0.22,0.26,0.13,0.13,0.21,0.3,0.28,0.26,0.2,0.26,0.23,0.26,0.25,0.32,0.2,0.21,0.23
779561,0.2,0.21,0.21,0.17,0.28,0.21,0.24,0.2,0.29,0.24,0.22,0.31,0.17,0.22,0.15,0.42,0.31,0.31,0.2,0.24,0.27,0.13,1.0,0.26,0.19,0.19,0.21,0.21,0.28,0.21,0.19,0.23,0.21,0.3,1.0,1.0,0.34,0.26,0.38,0.23,0.19,0.38,0.19,0.19,0.19,0.28,0.3,0.26,0.19,0.21,0.17,0.3,0.21,0.38,0.26,0.38,0.17,0.19,0.3,0.3,0.17,0.17,0.26,0.36,0.3,0.21,0.47,0.3,0.19,0.38,0.26,0.21,0.26,0.26,0.3,0.28,0.19,0.38,0.28,0.38,0.26,0.21,0.19,0.23,0.38,0.34,0.23,0.3,0.19,0.38,0.34,0.17,0.34,0.34,0.21,0.26,0.26,0.17,0.32,0.26,0.23,0.47,0.19,0.17,0.19,0.21,0.26,0.28,0.26,0.21,0.26,0.26,0.17,0.28,0.23,0.21,0.32,0.26,0.3,0.26,0.17,0.21,0.26,0.32,0.38,0.47,0.23,0.21,0.38,0.23,0.19,0.3,0.23,0.17,0.26,0.26,0.3,0.21,0.26,0.26,0.34,0.19,0.21,0.28,0.26,0.26,0.3,0.3,0.26,0.43,0.49,0.28,0.23,0.17,0.23,0.38,0.26,0.19,0.3,0.34,0.26,0.26,0.38,0.19,0.19,0.21,0.34,0.57,0.28,0.36,0.17,0.21,0.3,0.28,0.21,0.17,0.3,0.19,0.21,0.23,0.32,0.23,0.26,0.26,0.17,0.19,0.21,0.26,0.23,0.38,0.23,0.49,0.19,0.21,0.28,0.19,0.19,0.26,0.19,0.21,0.21,0.26,0.19,0.19,0.38
749294,0.4,0.48,0.48,0.28,0.19,0.39,0.27,0.44,0.43,1.0,0.19,0.87,0.27,0.82,0.29,0.23,1.0,0.4,0.46,0.2,0.88,0.32,0.26,1.0,0.41,0.39,0.57,0.22,0.33,0.59,0.65,0.43,0.56,0.44,0.24,0.24,0.44,0.98,0.45,0.27,0.44,0.21,0.41,0.52,0.44,0.34,0.43,0.95,0.65,0.29,0.4,0.59,0.49,0.45,0.49,0.49,0.4,0.66,0.27,0.43,0.27,0.43,0.55,0.21,0.51,0.57,0.22,0.43,0.61,0.5,0.52,0.49,0.34,0.98,0.37,0.83,0.41,0.49,0.5,0.45,0.55,0.59,0.63,0.79,0.82,0.5,0.44,0.43,0.46,0.28,0.78,0.28,0.78,0.44,0.49,0.55,0.32,0.49,0.39,0.98,0.41,0.22,0.6,0.22,0.41,0.57,0.23,0.83,0.52,0.34,0.98,0.98,0.26,0.83,0.79,0.49,0.5,0.55,0.44,0.98,0.28,0.57,0.98,0.48,0.5,0.22,0.54,0.46,0.49,0.35,0.43,0.44,0.43,0.3,0.22,0.3,0.59,0.39,0.98,0.95,0.49,0.62,0.48,0.54,0.29,1.0,0.44,0.4,0.98,0.24,0.22,0.32,0.43,0.3,0.62,0.49,0.89,0.41,0.43,0.33,0.33,0.96,0.26,0.63,0.41,0.49,0.5,0.45,0.33,0.44,0.4,0.85,0.46,0.83,0.73,0.28,0.43,0.65,0.26,0.2,0.5,0.44,0.98,0.55,0.28,0.65,0.83,0.27,0.44,0.46,0.2,0.22,0.41,0.55,0.5,0.43,0.39,0.48,0.46,0.48,0.49,0.95,0.61,0.52,0.45
737316,0.52,0.7,0.7,0.29,0.25,0.29,0.27,0.56,0.45,0.41,0.15,0.41,0.28,0.42,0.24,0.27,0.41,0.43,0.71,0.22,0.38,0.21,0.19,0.41,1.0,0.73,0.69,0.4,0.38,0.41,0.43,0.86,0.69,0.27,0.23,0.23,0.27,0.57,0.56,0.26,0.73,0.21,0.98,0.72,0.73,0.27,0.27,0.57,0.41,0.44,0.69,0.56,0.67,0.52,0.47,0.53,0.69,0.41,0.25,0.27,0.58,0.73,0.53,0.26,0.73,0.53,0.22,0.27,0.42,0.72,0.75,0.86,0.43,0.56,0.21,0.57,0.93,0.53,0.38,0.52,0.56,0.41,0.41,0.59,0.54,0.7,0.86,0.27,0.89,0.4,0.7,0.58,0.7,0.38,0.57,0.56,0.42,0.7,0.25,0.57,0.79,0.25,0.41,0.4,1.0,0.54,0.26,0.57,0.53,0.49,0.57,0.57,0.52,0.57,0.59,0.79,0.79,0.56,0.27,0.57,0.58,0.43,0.56,0.4,0.72,0.22,0.48,0.77,0.53,0.42,0.73,0.27,0.86,0.56,0.26,0.43,0.56,0.79,0.57,0.57,0.72,0.43,0.75,0.75,0.26,0.56,0.28,0.58,0.57,0.27,0.25,0.48,0.86,0.56,0.58,0.53,0.56,0.95,0.27,0.38,0.38,0.57,0.28,0.41,0.93,0.63,0.74,0.53,0.38,0.38,0.69,0.57,0.74,0.57,0.57,0.49,0.27,0.43,0.27,0.27,0.79,0.86,0.57,0.79,0.59,0.43,0.57,0.26,0.86,0.59,0.27,0.25,0.98,0.57,0.78,0.73,0.74,0.7,0.85,0.56,0.67,0.57,0.41,0.38,0.52
789859,0.43,0.57,0.57,0.23,0.25,0.27,0.25,0.41,0.45,0.39,0.15,0.39,0.22,0.4,0.22,0.27,0.39,0.33,0.55,0.22,0.38,0.2,0.19,0.39,0.73,1.0,0.54,0.44,0.32,0.36,0.39,0.78,0.54,0.27,0.24,0.24,0.27,0.56,0.54,0.25,0.69,0.2,0.8,0.8,0.69,0.27,0.27,0.56,0.36,0.39,0.76,0.58,0.71,0.49,0.56,0.51,0.76,0.36,0.24,0.27,0.58,0.61,0.51,0.29,0.59,0.51,0.22,0.27,0.37,0.56,0.59,0.78,0.37,0.54,0.2,0.58,0.81,0.51,0.32,0.49,0.56,0.36,0.36,0.61,0.53,0.56,0.78,0.27,0.83,0.34,0.54,0.54,0.58,0.42,0.54,0.56,0.36,0.56,0.24,0.56,0.58,0.27,0.36,0.44,0.8,0.53,0.27,0.58,0.51,0.49,0.56,0.56,0.51,0.58,0.63,0.58,0.64,0.56,0.27,0.56,0.54,0.39,0.54,0.34,0.56,0.22,0.44,0.69,0.51,0.36,0.76,0.27,0.73,0.54,0.27,0.37,0.58,0.58,0.56,0.56,0.58,0.39,0.56,0.59,0.27,0.54,0.29,0.58,0.56,0.31,0.25,0.37,0.78,0.54,0.59,0.51,0.54,0.81,0.27,0.42,0.32,0.56,0.31,0.36,0.8,0.58,0.59,0.51,0.32,0.42,0.76,0.56,0.58,0.58,0.58,0.49,0.27,0.39,0.27,0.27,0.64,0.78,0.56,0.64,0.56,0.39,0.56,0.25,0.78,0.59,0.27,0.27,0.8,0.54,0.63,0.83,0.8,0.56,0.78,0.53,0.71,0.56,0.36,0.32,0.49
